"ticker","asset_name","asset_class","asset_address","total_area","units_count","vacancy_ratio","non_compliant_ratio","assets_status","created_at","updated_at"
"ABCP11","Grand Plaza Shopping","Imóveis para renda acabados","Avenida Industrial, 600, Centro, Santo André - SP","69697.51","288","0.0268","0.0179","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"AIEC11","Rochavera - Torre D","Imóveis para venda acabados","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP","14648.00","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2024-08-17 00:00:00"
"AIEC11","Rcohavera - Torre D","Imóveis para renda acabados","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP","14648.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"AIEC11","Standard Building","Imóveis para venda acabados","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ","8341.00","1","0.0000","0.0000","Inativo","2025-01-19 00:00:00","2025-01-25 00:00:00"
"AIEC11","Standard Building","Imóveis para renda acabados","Avenida Presidente Wilson, 118 - Centro - Rio de Janeiro - RJ","8341.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"AIEC11","Rochavera - Torre D","Imóveis para renda acabados","Avenida das Nações Unidas, 14.171 - Chucri Zaidan - São Paulo - SP","14648.00","1","0.0000","0.0000","Ativo","2024-08-18 00:00:00","2025-10-16 00:00:00"
"AJFI11","Garten Shopping","Imóveis para renda acabados","Av. Rolf Wiest, n° 333 , Bom Retiro - 89223-005, Joinville - SC,","41969.33","260","0.9640","0.0000","Inativo","2025-02-02 00:00:00","2025-04-26 00:00:00"
"AJFI11","Norte Shopping","Imóveis para renda acabados","Rodovia BR-470, nº  3000, Salto Norte - 89065-800, Blumenau - SC","35324.50","260","0.0368","0.0037","Inativo","2025-05-04 00:00:00","2025-09-13 00:00:00"
"AJFI11","N/A","Imóveis para renda em construção","N/A","0.00","0","0","0","Inativo","2025-08-18 00:00:00","2025-10-05 00:00:00"
"AJFI11","Continente Shopping","Imóveis para renda acabados","Esquina Rod. SC 281, Distrito Industrial - 88104-801, Grande Florianópolis - SC","36032.70","270","0.0920","-0.0323","Inativo","2024-11-24 00:00:00","2025-07-24 00:00:00"
"AJFI11","Balneário Shopping","Imóveis para renda acabados","Av. Santa Catarina, nº 1, Estados - 88339-005, Balneário Camboriú - SC","35901.91","300","0.0918","0.0122","Ativo","2025-04-21 00:00:00","2025-10-16 00:00:00"
"AJFI11","Neumarkt Shopping","Imóveis para renda acabados","R. Sete de Setembro, n° 1213 , Centro - 89010-911, Blumenau - SC,","30436.24","240","0.0332","0.0086","Ativo","2024-12-27 00:00:00","2025-10-16 00:00:00"
"AJFI11","Nações Shopping","Imóveis para renda acabados","Av. Jorge Elias de Lucca, nº 765, Nossa Senhora da Salete - 88813-901, Criciúma - SC","44575.00","240","0.0989","0.1109","Inativo","2025-02-16 00:00:00","2025-10-05 00:00:00"
"ALMI11","Edificio Torre Almirante","Imóveis para renda acabados","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004","43444.45","40","0.9189","0.0000","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"ALZR11","Dasa - Ascendino Reis","Imóveis para renda acabados","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000","2283.66","1","0.0000","0.0000","Inativo","2024-10-26 00:00:00","2025-07-10 00:00:00"
"ALZR11","Galpão BRF Guarulhos","Imóveis para renda acabados","Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015","3459.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-09-28 00:00:00"
"ALZR11","Imóvel Dasa - Ascendino Reis","Imóveis para renda acabados","Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000","2284.00","1","0.0000","0.0000","Ativo","2025-03-02 00:00:00","2025-10-16 00:00:00"
"ALZR11","Atento Rio de Janeiro/RJ","Imóveis para renda acabados","Avenida Dom Hélder Câmara 3.203 e 3.229, Rio de Janeiro, RJ","8178.00","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"ALZR11","Air Liquide - Galpao Vila Carioca","Imóveis para renda acabados","Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002","5008.00","1","0.0000","0.0000","Ativo","2024-12-27 00:00:00","2025-10-16 00:00:00"
"ALZR11","Globo","Imóveis para renda acabados","Rua Pacheco Leão, 70 - Jardim Botânico,  Rio de Janeiro","3815.52","1","0.0000","0.0000","Inativo","2024-10-19 00:00:00","2024-12-28 00:00:00"
"ALZR11","Imóvel Decathlon","Imóveis para renda acabados","Avenida Duquesa de Goiás 381, São Paulo, SP, 05686-001","8750.00","1","0.0000","0.0000","Inativo","2024-12-27 00:00:00","2025-10-05 00:00:00"
"ALZR11","Femsa - Santo Andre","Imóveis para renda acabados","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570","36740.00","1","0.0000","0.0000","Inativo","2025-03-09 00:00:00","2025-05-24 00:00:00"
"ALZR11","BRF Bauru","Imóveis para renda acabados","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365","3627.00","1","0.0000","0.0000","Inativo","2025-08-24 00:00:00","2025-08-30 00:00:00"
"ALZR11","BRF Guarulhos","Imóveis para renda acabados","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015","3459.00","1","0.0000","0.0000","Ativo","2025-03-09 00:00:00","2025-10-16 00:00:00"
"ALZR11","OBA Hortifruti - SBC","Imóveis para renda acabados","Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000","4428.00","1","0.0000","0.0000","Ativo","2024-10-19 00:00:00","2025-10-16 00:00:00"
"ALZR11","Galpão GRU","Imóveis para renda acabados","Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015","3763.42","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2025-03-10 00:00:00"
"ALZR11","Imóvel Dasa Sumaré","Imóveis para renda acabados","Av. Sumaré 1500, São Paulo, SP, 01252-120","5227.00","1","0.0000","0.0000","Ativo","2025-07-20 00:00:00","2025-10-16 00:00:00"
"ALZR11","BRF - Guarulhos","Imóveis para renda acabados","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015","3459.00","1","0.0000","0.0000","Inativo","2024-05-23 00:00:00","2025-04-26 00:00:00"
"ALZR11","Imovel Globo - Jardim Botanico","Imóveis para renda acabados","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030","3815.52","1","0.0000","0.0000","Ativo","2025-07-13 00:00:00","2025-10-16 00:00:00"
"ALZR11","Não Aplicável","Imóveis para renda em construção","","0","0","0","0","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"ALZR11","Galpão Aptiv","Imóveis para renda acabados","Rua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000","18590.77","1","0.0000","0.0000","Ativo","2024-05-23 00:00:00","2025-10-16 00:00:00"
"ALZR11","BRF - Bauru","Imóveis para renda acabados","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365","3627.00","1","0.0000","0.0000","Inativo","2025-08-10 00:00:00","2025-08-16 00:00:00"
