"ticker","traded_until_date","payment_date","dividend_amt","created_at","updated_at"
"ABCP11","2025-09-30 00:00:00","2025-10-07 00:00:00","0.50","2025-10-02 00:00:00","2025-10-02 00:00:00"
"ABCP11","2025-08-29 00:00:00","2025-09-05 00:00:00","0.50","2025-09-02 00:00:00","2025-09-02 00:00:00"
"ABCP11","2025-07-31 00:00:00","2025-08-07 00:00:00","0.50","2025-08-04 00:00:00","2025-08-04 00:00:00"
"ABCP11","2025-06-30 00:00:00","2025-07-07 00:00:00","1.15","2025-07-01 00:00:00","2025-07-01 00:00:00"
"ABCP11","2025-05-30 00:00:00","2025-06-06 00:00:00","0.80","2025-05-31 00:00:00","2025-05-31 00:00:00"
"ABCP11","2025-04-30 00:00:00","2025-05-08 00:00:00","0.60","2025-05-01 00:00:00","2025-05-01 00:00:00"
"ABCP11","2025-03-31 00:00:00","2025-04-07 00:00:00","0.50","2025-04-01 00:00:00","2025-04-01 00:00:00"
"ABCP11","2025-02-28 00:00:00","2025-03-11 00:00:00","0.50","2025-03-06 00:00:00","2025-03-06 00:00:00"
"ABCP11","2025-01-31 00:00:00","2025-02-07 00:00:00","0.50","2025-02-03 00:00:00","2025-02-03 00:00:00"
"ABCP11","2025-01-15 00:00:00","2025-01-23 00:00:00","8.45","2025-01-16 00:00:00","2025-01-16 00:00:00"
"ABCP11","2024-12-30 00:00:00","2025-01-08 00:00:00","0.50","2025-01-02 00:00:00","2025-01-02 00:00:00"
"ABCP11","2024-11-29 00:00:00","2024-12-06 00:00:00","0.70","2024-11-30 00:00:00","2024-11-30 00:00:00"
"ABCP11","2024-10-31 00:00:00","2024-11-07 00:00:00","0.70","2024-11-02 00:00:00","2024-11-02 00:00:00"
"ABCP11","2024-09-30 00:00:00","2024-10-07 00:00:00","0.70","2024-10-02 00:00:00","2024-10-02 00:00:00"
"ABCP11","2024-08-30 00:00:00","2024-09-06 00:00:00","0.62","2024-08-31 00:00:00","2024-08-31 00:00:00"
"ABCP11","2024-07-31 00:00:00","2024-08-07 00:00:00","0.62","2024-08-02 00:00:00","2024-08-02 00:00:00"
"ABCP11","2024-06-28 00:00:00","2024-07-05 00:00:00","0.35","2024-07-02 00:00:00","2024-07-02 00:00:00"
"ABCP11","2024-05-31 00:00:00","2024-06-07 00:00:00","0.47","2024-06-03 00:00:00","2024-06-03 00:00:00"
"ABCP11","2024-04-30 00:00:00","2024-05-08 00:00:00","0.47","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2024-03-28 00:00:00","2024-04-05 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2024-02-29 00:00:00","2024-03-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2024-01-31 00:00:00","2024-02-07 00:00:00","0.82","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-12-28 00:00:00","2024-01-08 00:00:00","0.65","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-11-30 00:00:00","2023-12-07 00:00:00","0.60","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-10-31 00:00:00","2023-11-08 00:00:00","0.60","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-09-29 00:00:00","2023-10-06 00:00:00","0.60","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-08-31 00:00:00","2023-09-08 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-07-31 00:00:00","2023-08-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-06-30 00:00:00","2023-07-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-05-31 00:00:00","2023-06-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-04-28 00:00:00","2023-05-08 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-03-31 00:00:00","2023-04-10 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-02-28 00:00:00","2023-03-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2023-01-31 00:00:00","2023-02-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-11-30 00:00:00","2022-12-07 00:00:00","0.60","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-10-31 00:00:00","2022-11-08 00:00:00","0.55","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-09-30 00:00:00","2022-10-07 00:00:00","0.52","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-08-31 00:00:00","2022-09-08 00:00:00","0.55","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-07-29 00:00:00","2022-08-05 00:00:00","0.53","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-06-30 00:00:00","2022-07-07 00:00:00","0.54","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-05-31 00:00:00","2022-06-07 00:00:00","0.59","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-04-29 00:00:00","2022-05-06 00:00:00","0.65","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-03-31 00:00:00","2022-04-07 00:00:00","0.50","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-02-25 00:00:00","2022-03-08 00:00:00","0.45","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2022-01-31 00:00:00","2022-02-07 00:00:00","0.77","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2021-12-30 00:00:00","2022-01-10 00:00:00","0.58","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2021-11-30 00:00:00","2021-12-08 00:00:00","0.56","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2021-10-29 00:00:00","2021-11-09 00:00:00","0.46","2024-05-27 00:00:00","2024-05-27 00:00:00"
"ABCP11","2021-09-30 00:00:00","2021-10-08 00:00:00","0.42","2024-05-27 00:00:00","2024-05-27 00:00:00"
"AFHI11","2025-10-14 00:00:00","2025-10-21 00:00:00","1.01","2025-10-16 00:00:00","2025-10-16 00:00:00"
"AFHI11","2025-09-12 00:00:00","2025-09-19 00:00:00","1.01","2025-09-13 00:00:00","2025-09-13 00:00:00"
"AFHI11","2025-08-14 00:00:00","2025-08-21 00:00:00","1.01","2025-08-16 00:00:00","2025-08-16 00:00:00"
"AFHI11","2025-07-14 00:00:00","2025-07-21 00:00:00","1.09","2025-07-15 00:00:00","2025-07-15 00:00:00"
"AFHI11","2025-06-13 00:00:00","2025-06-23 00:00:00","1.01","2025-06-14 00:00:00","2025-06-14 00:00:00"
"AFHI11","2025-05-15 00:00:00","2025-05-22 00:00:00","1.00","2025-05-16 00:00:00","2025-05-16 00:00:00"
"AFHI11","2025-04-14 00:00:00","2025-04-23 00:00:00","0.99","2025-04-16 00:00:00","2025-04-16 00:00:00"
"AFHI11","2025-03-18 00:00:00","2025-03-25 00:00:00","0.98","2025-03-19 00:00:00","2025-03-19 00:00:00"
"AFHI11","2025-02-14 00:00:00","2025-02-21 00:00:00","0.97","2025-02-15 00:00:00","2025-02-15 00:00:00"
"AFHI11","2025-01-15 00:00:00","2025-01-22 00:00:00","0.95","2025-01-16 00:00:00","2025-01-16 00:00:00"
"AFHI11","2024-12-13 00:00:00","2024-12-20 00:00:00","0.95","2024-12-14 00:00:00","2024-12-14 00:00:00"
"AFHI11","2024-11-14 00:00:00","2024-11-25 00:00:00","0.93","2024-11-15 00:00:00","2024-11-15 00:00:00"
"AFHI11","2024-10-14 00:00:00","2024-10-21 00:00:00","0.93","2024-10-15 00:00:00","2024-10-15 00:00:00"
"AFHI11","2024-09-13 00:00:00","2024-09-20 00:00:00","0.93","2024-09-13 00:00:00","2024-09-13 00:00:00"
"AFHI11","2024-08-14 00:00:00","2024-08-21 00:00:00","0.95","2024-08-15 00:00:00","2024-08-15 00:00:00"
"AFHI11","2024-07-12 00:00:00","2024-07-19 00:00:00","0.95","2024-07-12 00:00:00","2024-07-12 00:00:00"
"AFHI11","2024-06-14 00:00:00","2024-06-21 00:00:00","0.96","2024-06-15 00:00:00","2024-06-15 00:00:00"
"AFHI11","2024-05-15 00:00:00","2024-05-22 00:00:00","0.95","2024-05-26 00:00:00","2024-05-27 00:00:00"
"AFHI11","2024-04-12 00:00:00","2024-04-19 00:00:00","0.95","2024-05-26 00:00:00","2024-05-27 00:00:00"
"AFHI11","2024-03-14 00:00:00","2024-03-21 00:00:00","0.95","2024-05-26 00:00:00","2024-05-27 00:00:00"
"AFHI11","2024-02-16 00:00:00","2024-02-23 00:00:00","0.95","2024-05-26 00:00:00","2024-05-27 00:00:00"
"AFHI11","2024-01-15 00:00:00","2024-01-22 00:00:00","1.00","2024-05-26 00:00:00","2024-05-27 00:00:00"
"AFHI11","2023-12-14 00:00:00","2023-12-21 00:00:00","1.00","2024-05-26 00:00:00","2024-05-27 00:00:00"
