"ticker","news_source","news_title","news_date","news_tags","news_description","news_url","news_image_url","created_at","updated_at"
"MXRF11","InfoMoney","FII MXRF11 anuncia 11ª emissão de cotas para captar até R$ 1,25 bilhão; veja detalhes","2025-10-07 00:00:00","Finanças","A emissão é voltada a investidores profissionais e pode elevar em 30% o patrimônio do fundo","https://www.infomoney.com.br/onde-investir/fii-mxrf11-anuncia-11a-emissao-de-cotas-para-captar-ate-r-125-bilhao-veja-detalhes/","https://www.infomoney.com.br/wp-content/uploads/2025/05/cropped-7114-e1758133397348.jpg?quality=70","2025-10-08 00:00:00","2025-10-08 00:00:00"
"MXRF11","InfoMoney","FII MXRF11 anuncia pagamento de novos dividendos; veja valor","2025-09-30 00:00:00","Finanças","Com base no preço atual, rendimento equivale a um dividend yield mensal de 1,02%.","https://www.infomoney.com.br/onde-investir/fii-mxrf11-anuncia-pagamento-de-novos-dividendos-veja-valor/","https://www.infomoney.com.br/wp-content/uploads/2025/09/dinheiro-promo.jpg?quality=70","2025-10-01 00:00:00","2025-10-01 00:00:00"
"VISC11","InfoMoney","Shoppings, escritórios e logística: o raio-x da Vinci em meio à consolidação dos FIIs","2025-09-27 00:00:00","Economia","VISC11 acumula resultado e preserva caixa, enquanto VIUR11 segue negociado com forte desconto","https://www.infomoney.com.br/onde-investir/shoppings-escritorios-e-logistica-o-raio-x-da-vinci-em-meio-a-consolidacao-dos-fiis/","https://www.infomoney.com.br/wp-content/uploads/2019/08/imoveis-fiis.jpg?fit=900%2C601&quality=70&strip=all","2025-09-28 00:00:00","2025-09-28 00:00:00"
"VIUR11","InfoMoney","Shoppings, escritórios e logística: o raio-x da Vinci em meio à consolidação dos FIIs","2025-09-27 00:00:00","Economia","VISC11 acumula resultado e preserva caixa, enquanto VIUR11 segue negociado com forte desconto","https://www.infomoney.com.br/onde-investir/shoppings-escritorios-e-logistica-o-raio-x-da-vinci-em-meio-a-consolidacao-dos-fiis/","https://www.infomoney.com.br/wp-content/uploads/2019/08/imoveis-fiis.jpg?fit=900%2C601&quality=70&strip=all","2025-09-28 00:00:00","2025-09-28 00:00:00"
"MFII11","InfoMoney","FII MFII11 negocia terrenos em SP para projetos residenciais de R$ 111 milhões","2025-09-23 00:00:00","Economia","Fundo assinou propostas para compra de áreas no Itaim Paulista e em Americanópolis.","https://www.infomoney.com.br/onde-investir/fii-mfii11-negocia-terrenos-em-sp-para-projetos-residenciais-de-r-111-milhoes/","https://www.infomoney.com.br/wp-content/uploads/2025/06/tierra-mallorca-NpTbVOkkom8-unsplash.jpg?quality=70","2025-09-24 00:00:00","2025-09-24 00:00:00"
"RZAK11","InfoMoney","Cinco FIIs distribuem dividendos hoje; RZAK11 lidera com R$ 1,15 por cota","2025-09-19 00:00:00","Finanças","Cinco fundos confirmaram pagamentos nesta sexta, com yields de até 1,39% ao mês","https://www.infomoney.com.br/onde-investir/cinco-fiis-distribuem-dividendos-hoje-rzak11-lidera-com-r-115-por-cota/","https://www.infomoney.com.br/wp-content/uploads/2020/07/cropped-fundos-imobiliarios-de-papel-capa.jpg?fit=640%2C853&quality=70&strip=all","2025-09-19 00:00:00","2025-09-19 00:00:00"
"CPSH11","InfoMoney","Cotistas do CPSH11 ignoram eventual conflito de interesse e aprovam venda de shopping","2025-09-17 00:00:00","Finanças","Segundo o comunicado, a transação está sujeita ao cumprimento de condições precedentes","https://www.infomoney.com.br/onde-investir/cotistas-do-cpsh11-ignoram-eventual-conflito-de-interesse-e-aprovam-venda-de-shopping/","https://www.infomoney.com.br/wp-content/uploads/2024/07/Captura-de-tela-2024-07-04-194806.png?quality=70","2025-09-18 00:00:00","2025-09-18 00:00:00"
"HSML11","InfoMoney","FII HSML11 prepara terreno para queda da Selic e mira ciclo de valorização","2025-09-17 00:00:00","Finanças","Com juros em 15%, fundo segura distribuições, mas pode adicionar valor em cenário de afrouxamento monetário","https://www.infomoney.com.br/onde-investir/fii-hsml11-prepara-terreno-para-queda-da-selic-e-mira-ciclo-de-valorizacao/","https://www.infomoney.com.br/wp-content/uploads/2025/05/pexels-pixabay-264507-1.jpg?fit=1200%2C800&quality=70&strip=all","2025-09-17 00:00:00","2025-09-17 00:00:00"
"CVBI11","InfoMoney","FIIs iniciam semana com dividendos; CVBI11 paga hoje R$ 1,05 por cota","2025-09-15 00:00:00","Finanças","No geral, os dividendos divulgados mostram yields que variam de 0,70% até 1,31%","https://www.infomoney.com.br/onde-investir/fiis-iniciam-semana-com-dividendos-cvbi11-paga-hoje-r-105-por-cota/","https://www.infomoney.com.br/wp-content/uploads/2025/06/daniel-dan-ZbMuzk8iJAI-unsplash.jpg?fit=640%2C427&quality=70&strip=all","2025-09-15 00:00:00","2025-09-15 00:00:00"
"GGRC11","InfoMoney","Reinvestir ou não dividendos? Simulação com FII GGRC11 mostra impacto na carteira","2025-09-13 00:00:00","Finanças","Simulação do InfoMoney com a Economatica mostra como a disciplina em reinvestir os proventos ajuda a proteger o patrimônio em períodos de baixa no mercado","https://www.infomoney.com.br/onde-investir/reinvestir-ou-nao-dividendos-simulacao-com-fii-ggrc11-mostra-impacto-na-carteira/","https://www.infomoney.com.br/wp-content/uploads/2025/07/19554.jpg?fit=1500%2C1000&quality=70&strip=all","2025-09-13 00:00:00","2025-09-13 00:00:00"
"KNUQ11","InfoMoney","Quatro fundos distribuem dividendos nesta quarta-feira; maior valor é do KNUQ11","2025-09-10 00:00:00","Finanças","Pagamentos variam entre R$ 0,82 e R$ 1,40 por cota, com yields de até 1,33% no mês","https://www.infomoney.com.br/onde-investir/quatro-fundos-distribuem-dividendos-nesta-quarta-feira-maior-valor-e-do-knuq11/","https://www.infomoney.com.br/wp-content/uploads/2025/07/daniel-dan-MFKO_qsfFJ8-unsplash.jpg?fit=640%2C427&quality=70&strip=all","2025-09-10 00:00:00","2025-09-10 00:00:00"
"OULG11","InfoMoney","FII OULG11 vende galpão logístico em Duque de Caxias (RJ) por R$ 87 milhões","2025-09-08 00:00:00","Finanças","Cotistas já haviam aprovado a alienação do ativo em assembleia realizada em 2024","https://www.infomoney.com.br/onde-investir/fii-oulg11-vende-de-galpao-logistico-em-duque-de-caxias-rj-por-r-87-milhoes/","https://www.infomoney.com.br/wp-content/uploads/2025/08/pexels-pixabay-209251-1.jpg?quality=70","2025-09-09 00:00:00","2025-09-09 00:00:00"
"TRXF11","InfoMoney","FIIs captam quase R$ 30 bi em 2025 e viram alternativa à “poupança sangrando”","2025-09-05 00:00:00","Finanças","O fundo Oportunidades Imobiliárias encabeça a lista das maiores captações entre as ofertas concluídas, com quase R$ 3 bilhões. O TRX Real Estate (TRXF11) – primeiro listado da relação","https://www.infomoney.com.br/onde-investir/fiis-captam-quase-r-30-bi-em-2025-e-viram-alternativa-a-poupanca-sangrando/","https://www.infomoney.com.br/wp-content/uploads/2019/06/imoveis-2.jpg?quality=70","2025-09-06 00:00:00","2025-09-06 00:00:00"
"XPML11","InfoMoney","FII XPML11 vende frações de 9 shoppings por R$ 1,6 bi; veja impacto nos dividendos","2025-08-29 00:00:00","Finanças","A participação nos empreendimentos foi negociada com a Riza Real Estate, que estruturaria um novo fundo imobiliário","https://www.infomoney.com.br/onde-investir/fii-xpml11-vende-fracoes-de-nove-shoppings-e-embolsa-r-16-bi/","https://www.infomoney.com.br/wp-content/uploads/2024/06/DJI_0140-HDR-DN-baixa-scaled-1.jpg?quality=70","2025-08-30 00:00:00","2025-08-30 00:00:00"
"MXRF11","InfoMoney","Fundo imobiliário MXRF11 anuncia dividendos de setembro; veja o valor","2025-08-29 00:00:00","Finanças","Provento representa dividend yield de 1,04% sobre o valor de mercado do fundo","https://www.infomoney.com.br/onde-investir/fundo-imobiliario-mxrf11-anuncia-dividendos-de-setembro-veja-o-valor/","https://www.infomoney.com.br/wp-content/uploads/2025/03/cropped-high-angle-office-items-with-piggy-bank-growth-chart-1.jpg?quality=70","2025-08-30 00:00:00","2025-08-30 00:00:00"
