"ticker","price_date","close_price","adj_close_price","open_price","daily_range_pct","max_price","min_price","created_at","updated_at"
"MMVE11","2025-10-15 00:00:00","147.00","147.00","147.00","0.00","147.00","147.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RCRB11","2025-10-15 00:00:00","124.70","124.70","124.07","0.51","125.50","124.07","2025-10-16 00:00:00","2025-10-16 00:00:00"
"HSML11","2025-10-15 00:00:00","84.35","84.35","83.85","0.60","84.44","83.70","2025-10-16 00:00:00","2025-10-16 00:00:00"
"AFHI11","2025-10-15 00:00:00","93.99","93.99","93.54","0.48","94.07","93.39","2025-10-16 00:00:00","2025-10-16 00:00:00"
"INLG11","2025-10-15 00:00:00","74.58","74.58","74.31","0.36","74.58","74.31","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ALZR11","2025-10-15 00:00:00","10.60","10.60","10.58","0.19","10.61","10.54","2025-10-16 00:00:00","2025-10-16 00:00:00"
"JFLL11","2025-10-15 00:00:00","69.00","69.00","68.06","1.38","69.00","68.06","2025-10-16 00:00:00","2025-10-16 00:00:00"
"VSLH11","2025-10-15 00:00:00","2.53","2.53","2.54","-0.39","2.55","2.52","2025-10-16 00:00:00","2025-10-16 00:00:00"
"GGRC11","2025-10-15 00:00:00","9.95","9.95","9.99","-0.40","9.99","9.94","2025-10-16 00:00:00","2025-10-16 00:00:00"
"DVFF11","2025-10-15 00:00:00","5.92","5.92","5.91","0.17","5.93","5.89","2025-10-16 00:00:00","2025-10-16 00:00:00"
"KFOF11","2025-10-15 00:00:00","79.06","79.06","79.04","0.03","79.35","78.81","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ANCR11","2025-10-15 00:00:00","194.97","194.97","194.98","-0.01","194.98","194.97","2025-10-16 00:00:00","2025-10-16 00:00:00"
"MXRF11","2025-10-15 00:00:00","9.66","9.66","9.65","0.10","9.68","9.61","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RENV11","2025-10-15 00:00:00","5.09","5.09","5.79","-12.09","5.79","5.09","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RECM11","2025-10-15 00:00:00","8.42","8.42","8.49","-0.82","8.49","8.10","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ALMI11","2025-10-15 00:00:00","605.00","605.00","605.00","0.00","605.00","605.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RBHY11","2025-10-15 00:00:00","75.53","75.53","75.70","-0.22","75.70","75.38","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BBIG11","2025-10-15 00:00:00","6.98","6.98","6.90","1.16","7.00","6.90","2025-10-16 00:00:00","2025-10-16 00:00:00"
"SNCI11","2025-10-15 00:00:00","83.45","83.45","83.35","0.12","83.65","83.18","2025-10-16 00:00:00","2025-10-16 00:00:00"
"PATA11","2025-10-15 00:00:00","9.07","9.07","9.98","-9.12","9.98","9.07","2025-10-16 00:00:00","2025-10-16 00:00:00"
"WPLZ11","2025-10-15 00:00:00","49.98","49.98","48.51","3.03","50.00","48.51","2025-10-16 00:00:00","2025-10-16 00:00:00"
"XPSF11","2025-10-15 00:00:00","6.25","6.25","6.19","0.97","6.29","6.18","2025-10-16 00:00:00","2025-10-16 00:00:00"
"HCHG11","2025-10-15 00:00:00","77.14","77.14","77.52","-0.49","77.96","76.75","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ZAVC11","2025-10-15 00:00:00","9.81","9.81","9.93","-1.21","9.93","9.18","2025-10-16 00:00:00","2025-10-16 00:00:00"
"NSLU11","2025-10-15 00:00:00","200.69","200.69","200.01","0.34","200.69","196.58","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BTLG11","2025-10-15 00:00:00","103.90","103.90","103.93","-0.03","104.19","103.74","2025-10-16 00:00:00","2025-10-16 00:00:00"
"PRSV11","2025-10-15 00:00:00","35.35","35.35","41.49","-14.80","41.49","35.35","2025-10-16 00:00:00","2025-10-16 00:00:00"
"URPR11","2025-10-15 00:00:00","34.99","34.99","34.50","1.42","35.00","34.50","2025-10-16 00:00:00","2025-10-16 00:00:00"
"HOFC11","2025-10-15 00:00:00","28.26","28.26","28.55","-1.02","28.55","28.22","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RRCI11","2025-10-15 00:00:00","78.99","78.99","78.40","0.75","79.95","78.40","2025-10-16 00:00:00","2025-10-16 00:00:00"
"CARE11","2025-10-15 00:00:00","1.02","1.02","1.02","0.00","1.04","1.02","2025-10-16 00:00:00","2025-10-16 00:00:00"
"JPPA11","2025-10-15 00:00:00","78.83","78.83","79.19","-0.45","79.25","78.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"FLMA11","2025-10-15 00:00:00","145.21","145.21","144.47","0.51","145.60","143.46","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BRIP11","2025-10-15 00:00:00","720.00","720.00","729.99","-1.37","729.99","720.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BTCI11","2025-10-15 00:00:00","9.32","9.32","9.31","0.11","9.34","9.29","2025-10-16 00:00:00","2025-10-16 00:00:00"
"TORD11","2025-10-15 00:00:00","3.10","3.10","3.11","-0.32","3.11","3.10","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BCIA11","2025-10-15 00:00:00","83.32","83.32","83.68","-0.43","83.68","82.51","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BCRI11","2025-10-15 00:00:00","62.99","62.99","62.86","0.21","63.00","62.50","2025-10-16 00:00:00","2025-10-16 00:00:00"
"HABT11","2025-10-15 00:00:00","74.05","74.05","73.30","1.02","74.32","73.10","2025-10-16 00:00:00","2025-10-16 00:00:00"
"FVPQ11","2025-10-15 00:00:00","65.25","65.25","65.17","0.12","65.85","65.14","2025-10-16 00:00:00","2025-10-16 00:00:00"
"RZTR11","2025-10-15 00:00:00","92.05","92.05","92.05","0.00","92.11","91.91","2025-10-16 00:00:00","2025-10-16 00:00:00"
"SHPH11","2025-10-15 00:00:00","910.00","910.00","925.00","-1.62","925.00","891.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"PMLL11","2025-10-15 00:00:00","100.66","100.66","100.25","0.41","100.67","99.94","2025-10-16 00:00:00","2025-10-16 00:00:00"
"SNME11","2025-10-15 00:00:00","9.70","9.70","9.70","0.00","9.72","9.45","2025-10-16 00:00:00","2025-10-16 00:00:00"
"KNCR11","2025-10-15 00:00:00","104.35","104.35","104.47","-0.11","104.64","104.16","2025-10-16 00:00:00","2025-10-16 00:00:00"
"SARE11","2025-10-15 00:00:00","4.77","4.77","4.73","0.85","4.79","4.73","2025-10-16 00:00:00","2025-10-16 00:00:00"
"MGHT11","2025-10-15 00:00:00","16.00","16.00","16.16","-0.99","16.47","15.79","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ARRI11","2025-10-15 00:00:00","6.60","6.60","6.58","0.30","6.61","6.56","2025-10-16 00:00:00","2025-10-16 00:00:00"
"ARXD11","2025-10-15 00:00:00","7.53","7.53","7.62","-1.18","7.62","7.52","2025-10-16 00:00:00","2025-10-16 00:00:00"
"AROA11","2025-10-15 00:00:00","1.01","1.01","1.01","0.00","1.03","1.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"CEOC11","2025-10-15 00:00:00","44.74","44.74","44.75","-0.02","44.75","44.26","2025-10-16 00:00:00","2025-10-16 00:00:00"
"GFDL11","2025-10-15 00:00:00","107.09","107.09","107.09","0.00","107.09","107.09","2025-10-16 00:00:00","2025-10-16 00:00:00"
"IRDM11","2025-10-15 00:00:00","59.25","59.25","58.31","1.61","59.25","58.15","2025-10-16 00:00:00","2025-10-16 00:00:00"
"KIVO11","2025-10-15 00:00:00","61.25","61.25","61.40","-0.24","61.55","61.00","2025-10-16 00:00:00","2025-10-16 00:00:00"
"BBRC11","2025-10-15 00:00:00","97.40","97.40","97.44","-0.04","98.50","97.03","2025-10-16 00:00:00","2025-10-16 00:00:00"
"VGHF11","2025-10-15 00:00:00","7.57","7.57","7.54","0.40","7.61","7.50","2025-10-16 00:00:00","2025-10-16 00:00:00"
