"ticker","fii_cnpj","ticker_full_name","b3_name","classification","sector","sub_sector","management_type","target_market","is_exclusive","isin","ipo_date","website_url","admin_name","admin_cnpj","custodian_name","ifil_weight_pct","ifix_weight_pct","dy_monthly_pct","dy_pct","sum_anual_dy_amt","last_dividend_amt","last_payment_date","market_cap_value","enterprise_value","price_book_ratio","equity_per_share","revenue_per_share","dividend_payout_pct","growth_rate","cap_rate","volatility_ratio","sharpe_ratio","treynor_ratio","jensen_alpha","beta_index","leverage_ratio","equity_value","shares_count","variation_year_ratio","variation_month_ratio","equity_month_ratio","shareholders_count","dividend_reserve_amt","admin_fee_due_amt","perf_fee_due_amt","total_cash_amt","expected_revenue_amt","liabilities_total_amt","revenue_due_0_3m_pct","revenue_due_3_6m_pct","revenue_due_6_9m_pct","revenue_due_9_12m_pct","revenue_due_12_15m_pct","revenue_due_15_18m_pct","revenue_due_18_21m_pct","revenue_due_21_24m_pct","revenue_due_24_27m_pct","revenue_due_27_30m_pct","revenue_due_30_33m_pct","revenue_due_33_36m_pct","revenue_due_over_36m_pct","revenue_due_undetermined_pct","revenue_igpm_pct","revenue_inpc_pct","revenue_ipca_pct","revenue_incc_pct","users_ranking_count","users_rank_movement_count","sirios_ranking_count","sirios_rank_movement_count","ifix_ranking_count","ifix_rank_movement_count","ifil_ranking_count","ifil_rank_movement_count","created_at","updated_at"
"ABCP11","01.201.140/0001-90","Fundo Investimento Imobiliario Grand Plaza Shopping","FII Abc Imobiliario","Tijolo","Shoppings","Shoppings","Definida","Investidores Em Geral",False,"BRABCPCTF000","1996-05-17 00:00:00","","Rio Bravo Investimentos Dtvm Ltda","72.600.026/0001-81","","0","0","0.65","9.72","7.45","0.50","2025-10-07 00:00:00","360998226.00","366513553.80","0.7170","106.945","1.372","0.39","0.088","0.005","26.1534","0.2049","-0.0282","5.333","0.034","0.0058","503612185.00","4709082","5.4820","0.5322","0.0006","2508696.44","14494.00","103235.59","0.00","7619762.53","6462748.49","2916382.33","0.0240","0.0150","0.0323","0.0092","0.0735","0.0436","0.0204","0.0463","0.0492","0.0616","0.0269","0.0643","0.3873","0.1459","0.0308","0.0046","0.1047","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"AFHI11","36.642.293/0001-58","Af Invest CRI Fundo Investimento Imobiliário Recebíveis Imobiliário","FII Afhi Cri","Papel","Títulos e Valores Mobiliários","Multicategoria","Ativa","Investidores Em Geral",False,"BRAFHICTF005","2021-03-03 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0.34","0.30","1.07","12.58","11.82","1.01","2025-10-21 00:00:00","428182536.00","406545410.34","0.9990","94.125","0.007","0.00","-2.162","0.000","11.2670","0.3537","-0.1293","3.984","0.008","0.0009","428799120.00","4555618","4.1337","0.0000","0.0000","0.00","38309.00","348540.94","0.00","24993933.29","32363.85","395655.63","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","74","-1","62","0","2024-05-22 00:00:00","2025-10-16 00:00:00"
"AIEC11","35.765.826/0001-26","Autonomy Edifcios Corporativos Fund Investimento Imobiliario","FII Autonomy","Tijolo","Lajes Corporativas","Escritórios","Ativa","Investidores Em Geral",False,"BRAIECCTF009","2020-09-02 00:00:00","","Maf Dtvm S.A.","36.864.992/0001-42","Maf Distribuidora De Titulos E Valores Mobiliarios S.A.","0","0.18","0.66","10.14","5.25","0.34","2025-10-10 00:00:00","249886077.00","222232134.42","0.6400","80.883","2.938","0.12","-4.561","0.004","19.8380","0.5141","-0.0488","10.227","0.009","0.0054","390257875.00","4824987","10.3770","3.3416","0.0290","1640495.58","15340.00","139312.67","0","29811002.98","14174780.13","2108810.40","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","103","-1","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"AJFI11","51.472.985/0001-99","Aj Malls Fundo De Investimento Imobiliario","FII Aj Malls","Tijolo","Shoppings","Shoppings","Ativa","Investidores Em Geral",False,"BRAJFICTF001","2023-07-17 00:00:00","","Xp Investimentos Corretora De Câmbio, Títulos E Val Mob S/A","02.332.886/0001-04","Oliveira Trust Dtvm S.A.","0","0.17","0.39","10.49","0.80","0.03","2025-10-21 00:00:00","241306212.00","246965656.44","0.6280","12.149","0.002","0.97","-0.874","0.000","15.1507","0.2541","-0.6990","3.859","0.002","0.0225","384210693.00","31625978","4.0087","0.4072","-0.0008","69443.16","12568.00","213426.01","0.00","2966523.24","71330.12","8625967.68","0.0042","0.0389","0.0472","0.1765","0.1128","0.1450","0.0185","0.0523","0.0791","0.0315","0.0162","0.1634","0.0012","0.0532","0.4721","0.0474","0.0789","0.4016","0","0","0","0","104","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ALMI11","07.122.725/0001-00","Fundo Investimento Imobiliario FII Torre Almirante","FII Torre Al","Tijolo","Lajes Corporativas","Escritórios","Definida","Investidores Em Geral",False,"BRALMICTF003","2004-11-19 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","0.69","8.15","49.28","4.17","2025-10-07 00:00:00","67262085.00","62248737.48","0.2870","2105.804","70.449","0.00","-2.944","0.000","39.1260","0.0484","0.0140","1.890","-0.093","0.0237","234116981.00","111177","2.0430","0.1709","-0.0001","0.00","1939.00","108323.70","0.00","10111683.25","7832342.27","5543043.73","0.0303","0.0606","0.0000","0.0000","0.0742","0.0915","0.0650","0.0633","0.0000","0.0000","0.0000","0.0413","0.5734","0.0000","0.3589","0.0000","0.6410","0.0000","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
"ALZC11","40.011.324/0001-40","Alianza Crédito Imobiliário Fundo de Investimento","FII Alianzac","Papel","Títulos e Valores Mobiliários","Outros","Ativa","Investidores Em Geral",False,"BRSIGRCTF004","2021-07-30 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","1.42","110.17","8.51","0.11","2025-09-22 00:00:00","154787776.00","146530504.68","0.8180","9.438","0.001","0.00","252.689","0.000","28.3902","-2.9110","0.3614","-82.661","-0.027","0.0013","189237471.00","20050230","-82.5107","1.1063","0.0003","0.00","9280.00","204943.62","0.00","10108764.11","17183.48","247474.79","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","0","0","0","2024-06-10 00:00:00","2025-10-16 00:00:00"
"ALZR11","28.737.771/0001-85","Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario","FII Alianza","Hibrido","Híbrido","Multicategoria","Ativa","Investidores Em Geral",False,"BRALZRCTF006","2017-12-27 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","1.04","0.91","0.75","9.84","1.04","0.08","2025-09-25 00:00:00","1296022250.00","1572329536.49","0.9930","10.676","0.639","0.00","1.139","0.000","10.9185","-7.2331","-0.0578","-78.956","0.162","0.3209","1305279166.00","122266250","-78.8109","-0.0959","-0.0090","0.00","167464.00","971029.34","0.00","136478079.60","78085087.15","418898678.09","0.0000","0.0799","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9200","0.0000","0.0000","0.0000","1.0000","0.0000","0","0","0","0","38","0","38","0","2024-05-22 00:00:00","2025-10-16 00:00:00"
"ANCR11","07.789.135/0001-27","FII Ancar Ic","FII Ancar Ic","Tijolo","Shoppings","Shoppings","Ativa","Investidores Em Geral",False,"BRANCRCTF001","2005-12-21 00:00:00","","Genial Investimentos Corretora De Valores Mobiliários S.A.","27.652.684/0001-62","Banco Genial S.A.","0","0","1.04","1.84","3.59","2.02","2025-02-25 00:00:00","5212530749.00","5398193132.55","0.0000","0.000","1.670","0.42","18.559","0.000","120.0243","0.2552","0.0122","30.842","0.132","0.0000","0.00","26735040","30.9885","0.0000","0.0000","18581754.98","192.00","77114.12","0.00","98102934.86","44654379.04","283497968.41","0.0090","0.0231","0.0322","0.0256","0.0421","0.0438","0.0446","0.0388","0.0686","0.0612","0.0587","0.0397","0.4036","0.1083","0.2522","0.0016","0.0296","0.0000","0","0","0","0","0","0","0","0","2025-07-02 00:00:00","2025-10-16 00:00:00"
"APTO11","42.432.327/0001-82","Navi Residencial Fundo de Investimento Imobiliário","FII Navi Rsd","Tijolo","Residencial","Residencial","Ativa","Investidores Em Geral",False,"BRAPTOCTF007","2021-08-13 00:00:00","","Brl Trust Dtvm S.A.","13.486.793/0001-42","Brl Trust Dtvm S.A.","0","0","1.08","12.99","1.09","0.09","2025-10-20 00:00:00","38558218.00","49706760.78","0.8540","9.792","0.333","0.27","-2.532","0.009","19.9160","0.4011","-0.2675","7.965","0.003","0.2792","45162256.00","4612227","8.1148","0.8661","-0.0005","415129.92","8232.00","56783.75","0","1690493.23","1535470.53","12608425.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-10-16 00:00:00"
"APXM11","43.010.485/0001-07","Fundo de Investimento Imobiliário Apex Malls FII","FII Apex Ms","Tijolo","Shoppings","Shoppings","Ativa","Investidores Em Geral",False,"BRAPXMCTF003","2022-11-30 00:00:00","","Btg Pactual Servicos Financeiros S/A Dtvm","59.281.253/0001-23","Banco Btg Pactual S A","0","0","0.39","5.38","4.18","0.30","2025-09-24 00:00:00","219796042.00","205286114.76","0.6290","123.426","-0.150","0.00","60.691","0.000","63.0523","0.1352","-0.0086","8.529","0.074","-0.0027","349190139.00","2829142","8.6773","0.2290","0.0007","0.00","596.00","116309.60","0.00","3142479.36","-424968.70","-927913.88","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0","0","0","0","2024-05-22 00:00:00","2025-09-21 00:00:00"
