"tax_date","cdi_rate_pct","selic_rate_pct","ibov_points_count","ibov_var_pct","ifix_points_count","ifix_var_pct","ifil_points_count","ifil_var_pct","usd_buy_amt","usd_sell_amt","usd_var_pct","eur_buy_amt","eur_sell_amt","eur_var_pct","created_at","updated_at"
"2025-10-15 00:00:00","15.00","15.00","142604","0.65","3586","0.30","1584","0.32","5.45","5.45","-0.03","6.35","6.35","-0.03","2025-10-16 00:00:00","2025-10-16 00:00:00"
"2025-10-14 00:00:00","15.00","15.00","141683","-0.07","3575","0.15","1579","0.15","5.47","5.48","-0.32","6.34","6.36","-0.34","2025-10-15 00:00:00","2025-10-15 00:00:00"
"2025-10-13 00:00:00","15.00","15.00","140680","-0.73","3577","0.11","1577","-0.21","5.50","5.53","-0.30","6.39","6.42","-0.30","2025-10-13 00:00:00","2025-10-13 00:00:00"
"2025-10-10 00:00:00","15.00","15.00","140680","-0.73","3577","0.11","1580","0.10","5.50","5.53","-0.30","6.39","6.42","-0.30","2025-10-11 00:00:00","2025-10-11 00:00:00"
"2025-10-09 00:00:00","15.00","15.00","141708","-0.31","3573","-0.11","1578","-0.12","5.38","5.38","0.05","6.22","6.22","0.06","2025-10-10 00:00:00","2025-10-10 00:00:00"
"2025-10-08 00:00:00","15.00","15.00","142145","0.56","3577","0.05","1580","0.07","5.35","5.34","0.31","6.23","6.21","0.32","2025-10-09 00:00:00","2025-10-09 00:00:00"
"2025-10-07 00:00:00","15.00","15.00","141356","-1.57","3575","-0.20","1579","-0.20","5.35","5.36","-0.10","6.24","6.25","-0.06","2025-10-08 00:00:00","2025-10-08 00:00:00"
"2025-10-06 00:00:00","15.00","15.00","144201","0.17","3585","0.30","1582","-0.06","5.33","5.34","-0.09","6.27","6.27","0.00","2025-10-05 00:00:00","2025-10-05 00:00:00"
"2025-10-03 00:00:00","15.00","15.00","143803","-0.10","3579","0.13","1583","0.32","5.36","5.36","0.31","6.29","6.29","0.54","2025-10-03 00:00:00","2025-10-03 00:00:00"
"2025-10-01 00:00:00","15.00","15.00","145517","-0.49","3573","-0.46","1577","-0.49","5.33","5.33","0.00","6.25","6.25","0.05","2025-10-02 00:00:00","2025-10-02 00:00:00"
"2025-09-30 00:00:00","15.00","15.00","146237","-0.07","3589","0.20","1585","0.20","5.32","5.32","0.00","6.24","6.24","-0.03","2025-10-01 00:00:00","2025-10-01 00:00:00"
"2025-09-29 00:00:00","15.00","15.00","146337","0.61","3582","0.10","1582","0.09","5.31","5.32","-0.18","6.23","6.24","-0.19","2025-09-30 00:00:00","2025-09-30 00:00:00"
"2025-09-26 00:00:00","15.00","15.00","145447","0.10","3579","0.27","1580","0.22","5.34","5.35","-0.25","6.26","6.25","0.07","2025-09-27 00:00:00","2025-09-27 00:00:00"
"2025-09-25 00:00:00","15.00","15.00","145306","-0.81","3569","0.13","1577","0.17","5.36","5.37","-0.01","6.26","6.26","0.04","2025-09-26 00:00:00","2025-09-26 00:00:00"
"2025-09-24 00:00:00","15.00","15.00","146492","0.05","3564","0.03","1574","0.02","5.33","5.33","0.09","6.26","6.26","0.14","2025-09-25 00:00:00","2025-09-25 00:00:00"
"2025-09-23 00:00:00","15.00","15.00","146425","0.91","3563","0.14","1574","0.14","5.28","5.28","0.00","6.24","6.24","0.07","2025-09-24 00:00:00","2025-09-24 00:00:00"
"2025-09-22 00:00:00","15.00","15.00","145865","0.25","3567","0.35","1572","-0.24","5.32","5.33","-0.15","6.25","6.25","-0.16","2025-09-21 00:00:00","2025-09-21 00:00:00"
"2025-09-19 00:00:00","15.00","15.00","145865","0.25","3567","0.35","1576","0.37","5.32","5.33","-0.15","6.25","6.25","-0.16","2025-09-20 00:00:00","2025-09-20 00:00:00"
"2025-09-18 00:00:00","15.00","15.00","145499","-0.06","3555","-0.25","1570","-0.26","5.31","5.31","-0.05","6.25","6.25","-0.06","2025-09-19 00:00:00","2025-09-19 00:00:00"
"2025-09-17 00:00:00","15.00","15.00","145594","1.06","3563","0.18","1574","0.15","5.31","5.31","0.02","6.28","6.28","0.06","2025-09-18 00:00:00","2025-09-18 00:00:00"
"2025-09-16 00:00:00","15.00","15.00","144062","0.36","3557","0.28","1572","0.26","5.30","5.30","0.01","6.28","6.29","0.05","2025-09-17 00:00:00","2025-09-17 00:00:00"
"2025-09-15 00:00:00","15.00","15.00","142272","-0.61","3535","0.57","1567","0.32","5.35","5.35","0.04","6.27","6.28","0.00","2025-09-14 00:00:00","2025-09-14 00:00:00"
"2025-09-12 00:00:00","15.00","15.00","142272","-0.61","3535","0.57","1562","0.62","5.35","5.35","0.04","6.27","6.28","0.00","2025-09-13 00:00:00","2025-09-13 00:00:00"
"2025-09-11 00:00:00","15.00","15.00","143151","0.56","3515","0.00","1553","-0.02","5.39","5.39","0.09","6.33","6.33","0.11","2025-09-12 00:00:00","2025-09-12 00:00:00"
"2025-09-10 00:00:00","15.00","15.00","142349","0.52","3515","0.25","1553","0.24","5.41","5.40","0.03","6.32","6.33","0.08","2025-09-11 00:00:00","2025-09-11 00:00:00"
"2025-09-09 00:00:00","15.00","15.00","141618","-0.12","3506","-0.10","1549","-0.10","5.43","5.43","-0.02","6.36","6.37","-0.04","2025-09-10 00:00:00","2025-09-10 00:00:00"
"2025-09-08 00:00:00","15.00","15.00","142640","1.17","3500","0.43","1551","0.30","5.41","5.42","-0.10","6.34","6.35","0.00","2025-09-07 00:00:00","2025-09-07 00:00:00"
"2025-09-05 00:00:00","15.00","15.00","142640","1.17","3500","0.43","1546","0.42","5.41","5.42","-0.10","6.34","6.35","0.00","2025-09-06 00:00:00","2025-09-06 00:00:00"
"2025-09-04 00:00:00","15.00","15.00","140047","0.13","3486","0.01","1540","-0.01","5.45","5.45","0.08","6.35","6.35","-0.09","2025-09-04 00:00:00","2025-09-04 00:00:00"
